"Repeat","ratio","theta","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
1,0.04,0.59,0.68,0.54,0.04,0.04,0.64,0.5
1,0.04,0.6,0.62,0.6,0.04,0.04,0.58,0.56
1,0.04,0.61,0.7,0.44,0.02,0,0.68,0.44
1,0.04,0.62,0.6,0.5,0.02,0.02,0.58,0.48
1,0.04,0.63,0.76,0.48,0.02,0.02,0.74,0.46
1,0.04,0.64,0.62,0.46,0.04,0.02,0.58,0.44
1,0.04,0.65,0.6,0.48,0.04,0.02,0.56,0.46
1,0.04,0.66,0.8,0.46,0.04,0.02,0.76,0.44
1,0.04,0.67,0.5,0.42,0.02,0.02,0.48,0.4
1,0.04,0.68,0.7,0.5,0.02,0,0.68,0.5
1,0.04,0.69,0.6,0.48,0,0.02,0.6,0.46
1,0.04,0.7,0.52,0.64,0.02,0,0.5,0.64
1,0.04,0.71,0.66,0.52,0.02,0.02,0.64,0.5
1,0.04,0.72,0.44,0.48,0.02,0,0.42,0.48
1,0.04,0.73,0.64,0.48,0.04,0.04,0.6,0.44
1,0.04,0.74,0.76,0.54,0.04,0.04,0.72,0.5
1,0.04,0.75,0.66,0.6,0.02,0,0.64,0.6
1,0.04,0.76,0.66,0.28,0.02,0,0.64,0.28
1,0.04,0.77,0.76,0.48,0.04,0,0.72,0.48
1,0.04,0.78,0.74,0.52,0.04,0.02,0.7,0.5
1,0.04,0.79,0.62,0.62,0.04,0,0.58,0.62
1,0.04,0.8,0.6,0.42,0,0,0.6,0.42
1,0.04,0.81,0.7,0.48,0.04,0.04,0.66,0.44
1,0.04,0.82,0.44,0.56,0.02,0,0.42,0.56
1,0.04,0.83,0.6,0.46,0.04,0.02,0.56,0.44
1,0.04,0.84,0.72,0.52,0.04,0.04,0.68,0.48
1,0.04,0.85,0.58,0.48,0.02,0.04,0.56,0.44
1,0.04,0.86,0.58,0.58,0,0.02,0.58,0.56
1,0.04,0.87,0.56,0.34,0.04,0.02,0.52,0.32
1,0.04,0.88,0.78,0.46,0.04,0,0.74,0.46
1,0.04,0.89,0.76,0.56,0.04,0.02,0.72,0.54
1,0.04,0.9,0.82,0.52,0.04,0.02,0.78,0.5
1,0.04,0.91,0.6,0.46,0.02,0.02,0.58,0.44
1,0.04,0.92,0.66,0.6,0.02,0.02,0.64,0.58
1,0.04,0.93,0.62,0.46,0.04,0.02,0.58,0.44
1,0.04,0.94,0.68,0.46,0.04,0.02,0.64,0.44
1,0.04,0.95,0.56,0.46,0.04,0.04,0.52,0.42
1,0.04,0.96,0.5,0.42,0.02,0.04,0.48,0.38
1,0.04,0.97,0.52,0.5,0.02,0,0.5,0.5
1,0.04,0.98,0.62,0.52,0.04,0.04,0.58,0.48
1,0.04,0.99,0.42,0.4,0.02,0,0.4,0.4
1,0.06,0.5,0.62,0.52,0.04,0,0.58,0.52
1,0.06,0.51,0.66,0.52,0.02,0.02,0.64,0.5
1,0.06,0.52,0.78,0.46,0.06,0.04,0.72,0.42
1,0.06,0.53,0.74,0.48,0.06,0.02,0.68,0.46
1,0.06,0.54,0.64,0.4,0.04,0.04,0.6,0.36
1,0.06,0.55,0.74,0.58,0.04,0.04,0.7,0.54
1,0.06,0.56,0.76,0.6,0.04,0.04,0.72,0.56
1,0.06,0.57,0.64,0.58,0.04,0.04,0.6,0.54
1,0.06,0.58,0.68,0.56,0.06,0.04,0.62,0.52
1,0.06,0.59,0.7,0.52,0.04,0.04,0.66,0.48
1,0.06,0.6,0.76,0.44,0.06,0.02,0.7,0.42
1,0.06,0.61,0.76,0.4,0.04,0.04,0.72,0.36
1,0.06,0.62,0.58,0.52,0.02,0,0.56,0.52
1,0.06,0.63,0.7,0.36,0.06,0.02,0.64,0.34
1,0.06,0.64,0.6,0.56,0.02,0.04,0.58,0.52
1,0.06,0.65,0.74,0.28,0.06,0,0.68,0.28
1,0.06,0.66,0.74,0.4,0.06,0.04,0.68,0.36
1,0.06,0.67,0.6,0.4,0.04,0.04,0.56,0.36
1,0.06,0.68,0.7,0.4,0.04,0.02,0.66,0.38
1,0.06,0.69,0.62,0.52,0.04,0.04,0.58,0.48
1,0.06,0.7,0.56,0.52,0.06,0.04,0.5,0.48
1,0.06,0.71,0.66,0.52,0.06,0.06,0.6,0.46
1,0.06,0.72,0.64,0.36,0.02,0,0.62,0.36
1,0.06,0.73,0.76,0.46,0.06,0.04,0.7,0.42
1,0.06,0.74,0.66,0.46,0.04,0.02,0.62,0.44
1,0.06,0.75,0.64,0.36,0.06,0.04,0.58,0.32
1,0.06,0.76,0.7,0.62,0.04,0.02,0.66,0.6
1,0.06,0.77,0.74,0.44,0.06,0,0.68,0.44
1,0.06,0.78,0.62,0.44,0.04,0.04,0.58,0.4
1,0.06,0.79,0.64,0.48,0.04,0.02,0.6,0.46
1,0.06,0.8,0.66,0.46,0.02,0.02,0.64,0.44
1,0.06,0.81,0.64,0.42,0.06,0,0.58,0.42
1,0.06,0.82,0.84,0.46,0.06,0.02,0.78,0.44
1,0.06,0.83,0.64,0.56,0.02,0,0.62,0.56
1,0.06,0.84,0.42,0.46,0,0.04,0.42,0.42
1,0.06,0.85,0.78,0.74,0.04,0.04,0.74,0.7
1,0.06,0.86,0.64,0.48,0.06,0.06,0.58,0.42
1,0.06,0.87,0.58,0.36,0.04,0.02,0.54,0.34
1,0.06,0.88,0.64,0.56,0.04,0.04,0.6,0.52
1,0.06,0.89,0.48,0.5,0,0.02,0.48,0.48
1,0.06,0.9,0.56,0.34,0.04,0.02,0.52,0.32
1,0.06,0.91,0.68,0.38,0.06,0.02,0.62,0.36
1,0.06,0.92,0.68,0.42,0.04,0,0.64,0.42
1,0.06,0.93,0.56,0.44,0.04,0.02,0.52,0.42
1,0.06,0.94,0.5,0.46,0.02,0.02,0.48,0.44
1,0.06,0.95,0.7,0.62,0.04,0,0.66,0.62
1,0.06,0.96,0.62,0.38,0.06,0.04,0.56,0.34
1,0.06,0.97,0.54,0.38,0.04,0.02,0.5,0.36
1,0.06,0.98,0.68,0.38,0.04,0.02,0.64,0.36
1,0.06,0.99,0.74,0.56,0.06,0.02,0.68,0.54
1,0.08,0.5,0.58,0.4,0.06,0.04,0.52,0.36
1,0.08,0.51,0.64,0.5,0.04,0.02,0.6,0.48
1,0.08,0.52,0.7,0.32,0.06,0,0.64,0.32
1,0.08,0.53,0.76,0.34,0.08,0.02,0.68,0.32
1,0.08,0.54,0.66,0.44,0.08,0.04,0.58,0.4
1,0.08,0.55,0.76,0.54,0.06,0.06,0.7,0.48
1,0.08,0.56,0.78,0.56,0.08,0.06,0.7,0.5
1,0.08,0.57,0.72,0.44,0.04,0.04,0.68,0.4
1,0.08,0.58,0.74,0.58,0.08,0.02,0.66,0.56
1,0.08,0.59,0.68,0.52,0.04,0,0.64,0.52
1,0.08,0.6,0.58,0.48,0.04,0.04,0.54,0.44
1,0.08,0.61,0.7,0.36,0.04,0,0.66,0.36
1,0.08,0.62,0.62,0.62,0.06,0.04,0.56,0.58
1,0.08,0.63,0.72,0.38,0.08,0,0.64,0.38
1,0.08,0.64,0.76,0.5,0.08,0.02,0.68,0.48
1,0.08,0.65,0.66,0.58,0.06,0.04,0.6,0.54
1,0.08,0.66,0.7,0.5,0.08,0.06,0.62,0.44
1,0.08,0.67,0.76,0.54,0.08,0.08,0.68,0.46
1,0.08,0.68,0.7,0.54,0.06,0.04,0.64,0.5
1,0.08,0.69,0.74,0.26,0.04,0.04,0.7,0.22
1,0.08,0.7,0.64,0.36,0.06,0.02,0.58,0.34
1,0.08,0.71,0.58,0.52,0.06,0.08,0.52,0.44
1,0.08,0.72,0.68,0.44,0.04,0,0.64,0.44
1,0.08,0.73,0.58,0.44,0.08,0.04,0.5,0.4
1,0.08,0.74,0.62,0.48,0,0.02,0.62,0.46
1,0.08,0.75,0.68,0.44,0.08,0.06,0.6,0.38
1,0.08,0.76,0.74,0.62,0.06,0.04,0.68,0.58
1,0.08,0.77,0.64,0.5,0.06,0.04,0.58,0.46
1,0.08,0.78,0.48,0.46,0.04,0,0.44,0.46
1,0.08,0.79,0.68,0.34,0.04,0,0.64,0.34
1,0.08,0.8,0.52,0.56,0.04,0.04,0.48,0.52
1,0.08,0.81,0.82,0.42,0.08,0.06,0.74,0.36
1,0.08,0.82,0.56,0.54,0.06,0.02,0.5,0.52
1,0.08,0.83,0.72,0.54,0.06,0.04,0.66,0.5
1,0.08,0.84,0.6,0.4,0.08,0.04,0.52,0.36
1,0.08,0.85,0.64,0.24,0.02,0.02,0.62,0.22
1,0.08,0.86,0.8,0.56,0.08,0.04,0.72,0.52
1,0.08,0.87,0.7,0.52,0.06,0.08,0.64,0.44
1,0.08,0.88,0.46,0.36,0.06,0.04,0.4,0.32
1,0.08,0.89,0.76,0.56,0.08,0.06,0.68,0.5
1,0.08,0.9,0.46,0.56,0.04,0.04,0.42,0.52
1,0.08,0.91,0.56,0.52,0.06,0.04,0.5,0.48
1,0.08,0.92,0.72,0.5,0.08,0.04,0.64,0.46
1,0.08,0.93,0.6,0.58,0.06,0.04,0.54,0.54
1,0.08,0.94,0.6,0.34,0.04,0.02,0.56,0.32
1,0.08,0.95,0.66,0.56,0.08,0.06,0.58,0.5
1,0.08,0.96,0.68,0.44,0.06,0.06,0.62,0.38
1,0.08,0.97,0.52,0.32,0.02,0.02,0.5,0.3
1,0.08,0.98,0.62,0.54,0.06,0.04,0.56,0.5
1,0.08,0.99,0.66,0.34,0.04,0.02,0.62,0.32
1,0.1,0.5,0.7,0.52,0.06,0.02,0.64,0.5
1,0.1,0.51,0.68,0.42,0.04,0.04,0.64,0.38
1,0.1,0.52,0.76,0.42,0.1,0.04,0.66,0.38
1,0.1,0.53,0.66,0.4,0.06,0.04,0.6,0.36
1,0.1,0.54,0.64,0.4,0.06,0.02,0.58,0.38
1,0.1,0.55,0.74,0.5,0.04,0.04,0.7,0.46
1,0.1,0.56,0.66,0.4,0.08,0.04,0.58,0.36
1,0.1,0.57,0.62,0.52,0.06,0.06,0.56,0.46
1,0.1,0.58,0.7,0.56,0.08,0.02,0.62,0.54
1,0.1,0.59,0.74,0.46,0.06,0.04,0.68,0.42
1,0.1,0.6,0.7,0.4,0.08,0.06,0.62,0.34
1,0.1,0.61,0.66,0.56,0.1,0.06,0.56,0.5
1,0.1,0.62,0.82,0.56,0.1,0.08,0.72,0.48
1,0.1,0.63,0.64,0.52,0.08,0.06,0.56,0.46
1,0.1,0.64,0.58,0.38,0.08,0.06,0.5,0.32
1,0.1,0.65,0.76,0.64,0.08,0.06,0.68,0.58
1,0.1,0.66,0.68,0.62,0.04,0.04,0.64,0.58
1,0.1,0.67,0.66,0.48,0.08,0.04,0.58,0.44
1,0.1,0.68,0.62,0.56,0.04,0.08,0.58,0.48
1,0.1,0.69,0.8,0.54,0.08,0.02,0.72,0.52
1,0.1,0.7,0.66,0.54,0.06,0.08,0.6,0.46
1,0.1,0.71,0.6,0.5,0.1,0.08,0.5,0.42
1,0.1,0.72,0.62,0.52,0.1,0.08,0.52,0.44
1,0.1,0.73,0.68,0.42,0.08,0.04,0.6,0.38
1,0.1,0.74,0.52,0.54,0.04,0.02,0.48,0.52
1,0.1,0.75,0.62,0.5,0.06,0.06,0.56,0.44
1,0.1,0.76,0.6,0.46,0.06,0.04,0.54,0.42
1,0.1,0.77,0.68,0.5,0.1,0.02,0.58,0.48
1,0.1,0.78,0.74,0.58,0.06,0.06,0.68,0.52
1,0.1,0.79,0.62,0.56,0.06,0.02,0.56,0.54
1,0.1,0.8,0.68,0.6,0.1,0.06,0.58,0.54
1,0.1,0.81,0.62,0.36,0.08,0.04,0.54,0.32
1,0.1,0.82,0.74,0.4,0.08,0.06,0.66,0.34
1,0.1,0.83,0.62,0.48,0.08,0.02,0.54,0.46
1,0.1,0.84,0.58,0.42,0.06,0.04,0.52,0.38
1,0.1,0.85,0.66,0.54,0.06,0.04,0.6,0.5
1,0.1,0.86,0.68,0.48,0.06,0.08,0.62,0.4
1,0.1,0.87,0.5,0.42,0.02,0.04,0.48,0.38
1,0.1,0.88,0.56,0.46,0.08,0.06,0.48,0.4
1,0.1,0.89,0.72,0.54,0.06,0.04,0.66,0.5
1,0.1,0.9,0.68,0.54,0.08,0.08,0.6,0.46
1,0.1,0.91,0.64,0.52,0.04,0.02,0.6,0.5
1,0.1,0.92,0.66,0.54,0.08,0.06,0.58,0.48
1,0.1,0.93,0.66,0.56,0.06,0.06,0.6,0.5
1,0.1,0.94,0.58,0.4,0.08,0.02,0.5,0.38
1,0.1,0.95,0.68,0.46,0.1,0.06,0.58,0.4
1,0.1,0.96,0.72,0.62,0.08,0.06,0.64,0.56
1,0.1,0.97,0.78,0.6,0.08,0.04,0.7,0.56
1,0.1,0.98,0.54,0.58,0.08,0,0.46,0.58
1,0.1,0.99,0.5,0.54,0.04,0,0.46,0.54
1,0.12,0.5,0.7,0.46,0.1,0.08,0.6,0.38
1,0.12,0.51,0.76,0.56,0.04,0.06,0.72,0.5
1,0.12,0.52,0.78,0.58,0.08,0.08,0.7,0.5
1,0.12,0.53,0.76,0.66,0.08,0.1,0.68,0.56
1,0.12,0.54,0.74,0.44,0.12,0.06,0.62,0.38
1,0.12,0.55,0.64,0.66,0.08,0.1,0.56,0.56
1,0.12,0.56,0.62,0.32,0.04,0.04,0.58,0.28
1,0.12,0.57,0.64,0.56,0.1,0.06,0.54,0.5
1,0.12,0.58,0.72,0.4,0.12,0.08,0.6,0.32
1,0.12,0.59,0.66,0.4,0.08,0.06,0.58,0.34
1,0.12,0.6,0.7,0.58,0.08,0.1,0.62,0.48
1,0.12,0.61,0.72,0.56,0.06,0.04,0.66,0.52
1,0.12,0.62,0.66,0.32,0.08,0,0.58,0.32
1,0.12,0.63,0.66,0.48,0.1,0.04,0.56,0.44
1,0.12,0.64,0.72,0.4,0.08,0.06,0.64,0.34
1,0.12,0.65,0.64,0.62,0.08,0.08,0.56,0.54
1,0.12,0.66,0.58,0.54,0.06,0.08,0.52,0.46
1,0.12,0.67,0.64,0.44,0.1,0.08,0.54,0.36
1,0.12,0.68,0.56,0.48,0.04,0,0.52,0.48
1,0.12,0.69,0.62,0.5,0.06,0.04,0.56,0.46
1,0.12,0.7,0.62,0.56,0.08,0.08,0.54,0.48
1,0.12,0.71,0.56,0.32,0.1,0.08,0.46,0.24
1,0.12,0.72,0.66,0.46,0.08,0.04,0.58,0.42
1,0.12,0.73,0.58,0.4,0.12,0.08,0.46,0.32
1,0.12,0.74,0.56,0.42,0.06,0.04,0.5,0.38
1,0.12,0.75,0.6,0.44,0.1,0.06,0.5,0.38
1,0.12,0.76,0.76,0.38,0.1,0.06,0.66,0.32
1,0.12,0.77,0.52,0.4,0.04,0,0.48,0.4
1,0.12,0.78,0.54,0.42,0.04,0.06,0.5,0.36
1,0.12,0.79,0.74,0.58,0.1,0.04,0.64,0.54
1,0.12,0.8,0.66,0.32,0.08,0.04,0.58,0.28
1,0.12,0.81,0.64,0.5,0.1,0.1,0.54,0.4
1,0.12,0.82,0.74,0.58,0.1,0.06,0.64,0.52
1,0.12,0.83,0.62,0.56,0.1,0.04,0.52,0.52
1,0.12,0.84,0.74,0.4,0.08,0.04,0.66,0.36
1,0.12,0.85,0.6,0.44,0.1,0.08,0.5,0.36
1,0.12,0.86,0.58,0.56,0.08,0.08,0.5,0.48
1,0.12,0.87,0.68,0.44,0.08,0,0.6,0.44
1,0.12,0.88,0.58,0.74,0.1,0.1,0.48,0.64
1,0.12,0.89,0.54,0.38,0.04,0.06,0.5,0.32
1,0.12,0.9,0.78,0.54,0.12,0.06,0.66,0.48
1,0.12,0.91,0.64,0.56,0.1,0.06,0.54,0.5
1,0.12,0.92,0.72,0.58,0.08,0.06,0.64,0.52
1,0.12,0.93,0.58,0.48,0.06,0.04,0.52,0.44
1,0.12,0.94,0.58,0.5,0.08,0.06,0.5,0.44
1,0.12,0.95,0.62,0.5,0.06,0.1,0.56,0.4
1,0.12,0.96,0.8,0.54,0.12,0.08,0.68,0.46
1,0.12,0.97,0.78,0.5,0.08,0.06,0.7,0.44
1,0.12,0.98,0.56,0.46,0.08,0.02,0.48,0.44
1,0.12,0.99,0.52,0.54,0.06,0.06,0.46,0.48
1,0.14,0.5,0.68,0.56,0.12,0.1,0.56,0.46
1,0.14,0.51,0.62,0.56,0.1,0.06,0.52,0.5
1,0.14,0.52,0.48,0.36,0.04,0.08,0.44,0.28
1,0.14,0.53,0.78,0.38,0.16,0.06,0.62,0.32
1,0.14,0.54,0.7,0.34,0.12,0.04,0.58,0.3
1,0.14,0.55,0.66,0.58,0.14,0.1,0.52,0.48
1,0.14,0.56,0.68,0.52,0.1,0.04,0.58,0.48
1,0.14,0.57,0.64,0.56,0.12,0.14,0.52,0.42
1,0.14,0.58,0.78,0.48,0.14,0.08,0.64,0.4
1,0.14,0.59,0.74,0.44,0.14,0.08,0.6,0.36
1,0.14,0.6,0.68,0.48,0.12,0.1,0.56,0.38
1,0.14,0.61,0.76,0.48,0.14,0.06,0.62,0.42
1,0.14,0.62,0.68,0.6,0.1,0.06,0.58,0.54
1,0.14,0.63,0.72,0.62,0.06,0.1,0.66,0.52
1,0.14,0.64,0.68,0.34,0.16,0.06,0.52,0.28
1,0.14,0.65,0.66,0.5,0.1,0.08,0.56,0.42
1,0.14,0.66,0.56,0.38,0.14,0.06,0.42,0.32
1,0.14,0.67,0.74,0.62,0.12,0.14,0.62,0.48
1,0.14,0.68,0.62,0.5,0.14,0.1,0.48,0.4
1,0.14,0.69,0.54,0.48,0.08,0.08,0.46,0.4
1,0.14,0.7,0.72,0.56,0.14,0.08,0.58,0.48
1,0.14,0.71,0.7,0.56,0.16,0.04,0.54,0.52
1,0.14,0.72,0.7,0.58,0.12,0.1,0.58,0.48
1,0.14,0.73,0.48,0.34,0.1,0.08,0.38,0.26
1,0.14,0.74,0.72,0.36,0.1,0.06,0.62,0.3
1,0.14,0.75,0.72,0.5,0.1,0.08,0.62,0.42
1,0.14,0.76,0.62,0.44,0.1,0.08,0.52,0.36
1,0.14,0.77,0.66,0.38,0.14,0.06,0.52,0.32
1,0.14,0.78,0.78,0.54,0.12,0.06,0.66,0.48
1,0.14,0.79,0.66,0.26,0.12,0.04,0.54,0.22
1,0.14,0.8,0.62,0.46,0.12,0.08,0.5,0.38
1,0.14,0.81,0.62,0.56,0.12,0.08,0.5,0.48
1,0.14,0.82,0.72,0.58,0.14,0.14,0.58,0.44
1,0.14,0.83,0.66,0.52,0.12,0.12,0.54,0.4
1,0.14,0.84,0.64,0.66,0.14,0.12,0.5,0.54
1,0.14,0.85,0.58,0.48,0.12,0.12,0.46,0.36
1,0.14,0.86,0.66,0.4,0.08,0.08,0.58,0.32
1,0.14,0.87,0.6,0.38,0.08,0.1,0.52,0.28
1,0.14,0.88,0.74,0.42,0.12,0.1,0.62,0.32
1,0.14,0.89,0.78,0.56,0.14,0.14,0.64,0.42
1,0.14,0.9,0.68,0.4,0.14,0.06,0.54,0.34
1,0.14,0.91,0.7,0.42,0.12,0.08,0.58,0.34
1,0.14,0.92,0.62,0.46,0.12,0.02,0.5,0.44
1,0.14,0.93,0.7,0.5,0.12,0.1,0.58,0.4
1,0.14,0.94,0.5,0.46,0.06,0.06,0.44,0.4
1,0.14,0.95,0.72,0.44,0.12,0.04,0.6,0.4
1,0.14,0.96,0.76,0.6,0.1,0.08,0.66,0.52
1,0.14,0.97,0.62,0.6,0.14,0.08,0.48,0.52
1,0.14,0.98,0.66,0.58,0.16,0.12,0.5,0.46
1,0.14,0.99,0.52,0.46,0.14,0.08,0.38,0.38
1,0.16,0.5,0.84,0.56,0.14,0.1,0.7,0.46
1,0.16,0.51,0.62,0.6,0.1,0.12,0.52,0.48
1,0.16,0.52,0.72,0.42,0.12,0.04,0.6,0.38
1,0.16,0.53,0.8,0.56,0.12,0.06,0.68,0.5
1,0.16,0.54,0.68,0.58,0.14,0.1,0.54,0.48
1,0.16,0.55,0.7,0.42,0.1,0.06,0.6,0.36
1,0.16,0.56,0.48,0.54,0.1,0.08,0.38,0.46
1,0.16,0.57,0.64,0.44,0.1,0.08,0.54,0.36
1,0.16,0.58,0.72,0.66,0.14,0.08,0.58,0.58
1,0.16,0.59,0.66,0.56,0.14,0.14,0.52,0.42
1,0.16,0.6,0.6,0.22,0.1,0.04,0.5,0.18
1,0.16,0.61,0.62,0.44,0.08,0.02,0.54,0.42
1,0.16,0.62,0.78,0.38,0.1,0.02,0.68,0.36
1,0.16,0.63,0.7,0.66,0.08,0.12,0.62,0.54
1,0.16,0.64,0.5,0.38,0.06,0.02,0.44,0.36
1,0.16,0.65,0.78,0.54,0.1,0.12,0.68,0.42
1,0.16,0.66,0.7,0.38,0.08,0.1,0.62,0.28
1,0.16,0.67,0.64,0.64,0.12,0.1,0.52,0.54
1,0.16,0.68,0.52,0.36,0.02,0.02,0.5,0.34
1,0.16,0.69,0.74,0.52,0.12,0.12,0.62,0.4
1,0.16,0.7,0.7,0.48,0.12,0.02,0.58,0.46
1,0.16,0.71,0.58,0.46,0.06,0.06,0.52,0.4
1,0.16,0.72,0.72,0.48,0.12,0.12,0.6,0.36
1,0.16,0.73,0.7,0.44,0.16,0.08,0.54,0.36
1,0.16,0.74,0.76,0.6,0.16,0.12,0.6,0.48
1,0.16,0.75,0.62,0.52,0.06,0.06,0.56,0.46
1,0.16,0.76,0.62,0.58,0.12,0.14,0.5,0.44
1,0.16,0.77,0.72,0.58,0.12,0.1,0.6,0.48
1,0.16,0.78,0.56,0.46,0.06,0.1,0.5,0.36
1,0.16,0.79,0.8,0.56,0.12,0.08,0.68,0.48
1,0.16,0.8,0.78,0.64,0.14,0.12,0.64,0.52
1,0.16,0.81,0.7,0.48,0.06,0.04,0.64,0.44
1,0.16,0.82,0.72,0.46,0.12,0.06,0.6,0.4
1,0.16,0.83,0.72,0.52,0.14,0.08,0.58,0.44
1,0.16,0.84,0.76,0.58,0.16,0.1,0.6,0.48
1,0.16,0.85,0.56,0.42,0.1,0.06,0.46,0.36
1,0.16,0.86,0.66,0.46,0.1,0.06,0.56,0.4
1,0.16,0.87,0.64,0.36,0.12,0.08,0.52,0.28
1,0.16,0.88,0.58,0.4,0.08,0.04,0.5,0.36
1,0.16,0.89,0.54,0.32,0.16,0.04,0.38,0.28
1,0.16,0.9,0.56,0.46,0.12,0.08,0.44,0.38
1,0.16,0.91,0.56,0.48,0.08,0.06,0.48,0.42
1,0.16,0.92,0.46,0.48,0.12,0.08,0.34,0.4
1,0.16,0.93,0.68,0.46,0.08,0.06,0.6,0.4
1,0.16,0.94,0.58,0.5,0.1,0.1,0.48,0.4
1,0.16,0.95,0.66,0.38,0.16,0.06,0.5,0.32
1,0.16,0.96,0.44,0.52,0.06,0.06,0.38,0.46
1,0.16,0.97,0.74,0.56,0.12,0.08,0.62,0.48
1,0.16,0.98,0.66,0.54,0.12,0.08,0.54,0.46
1,0.16,0.99,0.64,0.56,0.1,0.08,0.54,0.48
1,0.18,0.5,0.56,0.52,0.1,0.06,0.46,0.46
1,0.18,0.51,0.18,0,0.02,0,0.16,0
1,0.18,0.52,0.78,0.58,0.1,0.08,0.68,0.5
1,0.18,0.53,0.68,0.52,0.1,0.1,0.58,0.42
1,0.18,0.54,0.58,0.56,0.12,0.1,0.46,0.46
1,0.18,0.55,0.52,0.28,0.1,0.04,0.42,0.24
1,0.18,0.56,0.6,0.48,0.14,0.06,0.46,0.42
1,0.18,0.57,0.74,0.52,0.16,0.08,0.58,0.44
1,0.18,0.58,0.66,0.44,0.14,0.1,0.52,0.34
1,0.18,0.59,0.68,0.48,0.18,0.06,0.5,0.42
1,0.18,0.6,0.7,0.52,0.1,0.1,0.6,0.42
1,0.18,0.61,0.8,0.56,0.18,0.14,0.62,0.42
1,0.18,0.62,0.56,0.38,0.12,0.04,0.44,0.34
